[2025-12-19 21:33:28] BAN | Ad: AD-202512-2039462492-W4DZG | Reason: Auto-banned for critical violations
[2025-12-19 21:33:28] EMAIL_SENT | Ad: AD-202512-2039462492-W4DZG | Reason: Notification sent to ld@mega.com
[2025-12-19 21:33:28] BAN | Ad: AD-202512-2038154411-C6X5I | Reason: Auto-banned for critical violations
[2025-12-19 21:33:28] EMAIL_SENT | Ad: AD-202512-2038154411-C6X5I | Reason: Notification sent to ld@mega.com
[2025-12-19 21:33:28] DELETE | Ad: AD-202512-113047.114-94U75 | Reason: Auto-deleted for policy violation
[2025-12-19 21:33:28] EMAIL_SENT | Ad: AD-202512-113047.114-94U75 | Reason: Notification sent to ld@mega.com
[2025-12-19 21:33:28] DELETE | Ad: food-mart | Reason: Auto-deleted for policy violation
[2025-12-19 21:33:28] EMAIL_SENT | Ad: food-mart | Reason: Notification sent to ld@mega.com
[2025-12-19 21:51:46] BAN | Ad: AD-202512-2039462492-W4DZG | Reason: Auto-banned for critical violations
[2025-12-19 21:51:46] EMAIL_SENT | Ad: AD-202512-2039462492-W4DZG | Reason: Notification sent to ld@mega.com
[2025-12-19 21:51:46] BAN | Ad: AD-202512-2038154411-C6X5I | Reason: Auto-banned for critical violations
[2025-12-19 21:51:46] EMAIL_SENT | Ad: AD-202512-2038154411-C6X5I | Reason: Notification sent to ld@mega.com
[2025-12-19 21:51:46] DELETE | Ad: AD-202512-113047.114-94U75 | Reason: Auto-deleted for policy violation
[2025-12-19 21:51:46] EMAIL_SENT | Ad: AD-202512-113047.114-94U75 | Reason: Notification sent to ld@mega.com
[2025-12-19 21:51:46] DELETE | Ad: food-mart | Reason: Auto-deleted for policy violation
[2025-12-19 21:51:46] EMAIL_SENT | Ad: food-mart | Reason: Notification sent to ld@mega.com
[2025-12-19 23:36:40] FLAGGED | Ad: AD-202512-2039462492-W4DZG | Reason: Flagged for review - Recommended action: ban
[2025-12-19 23:36:40] FLAGGED | Ad: AD-202512-2038154411-C6X5I | Reason: Flagged for review - Recommended action: ban
[2025-12-19 23:36:40] FLAGGED | Ad: AD-202512-113047.114-94U75 | Reason: Flagged for review - Recommended action: delete
[2025-12-19 23:36:40] FLAGGED | Ad: food-mart | Reason: Flagged for review - Recommended action: delete
